New URI	Syriaca Matched URI	relation possibly-identical	persName syriaca-headword.en	persName syriaca-headword.Source 1.syr	Alphabetize by	Source 1	citedRange pp.Source 1	sex.Source 2.en	Source 2	citedRange pp.Source 2	note abstract.Source 3.en	Source 3	citedRange pp.Source 3	floruit.Source 4.en	floruit when.Source 4	floruit notBefore.Source 4	floruit notAfter.Source 4	death.Source 4.en	death notBefore.Source 4	death notAfter.Source 4	Source 4	citedRange pp.Source 4	citedRange section.Source 4	citedRange URL.Source 4	persName.Source 5.en	Source 5	citedRange pp.Source 5	citedRange entry.Source 5	citedRange URI.Source 5	idno URI
***			persName syriaca-headword.en	Syriac Name	Alphabetize by	Syr Name Source URI	Syr Name pp	Sex	Sex Source URI	Sex Source pp	Description	Description Source URI	Description Source pp	Floruit	floruit when	floruit notBefore	floruit notAfter	Death date	Death notBefore	Death notAfter	Date Source URI	Date Source pp				PLRE/Prosopographie Chretienne/CPG URI	PLRE/Prosopographie Chretienne/CPG pp			Wikipedia/CBSC
2782			Apophon	ܐܒܐ ܐܦܐܦܘܢ	ܐܦܐܦܘܢ	666	133	M	668	120	A monk and a presbyter, also an associate of Severus of Antioch	668	120	first 1/4 6th century		500	525				668	120								
